反应物	反应类型数	反应类型列表
[N:1]1([C:17]([O:16][C:13]([CH3:12])([CH3:14])[CH3:15])=[O:18])[CH2:2][CH2:3][C@:4]([O:5][CH3:6])([CH2:7][OH:8])[C@H:9]([F:10])[CH2:11]1	1	[6]
[CH:1]([c:2]1[cH:3][cH:4][c:5]([S:6][CH3:7])[cH:8][cH:9]1)=[O:21]	1	[3]
[O:10]=[C:11]([OH:12])[CH2:13][c:14]1[cH:15][cH:16][c:17]([Cl:18])[cH:19][cH:20]1	1	[3]
[CH3:1][CH2:2][c:3]1[n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]2)[o:16][c:17]1[CH:18]=[O:19]	1	[3]
[CH2:1]([CH:2]1[CH2:3][O:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[O:11]1)[Br:26]	1	[1]
[N:12]#[C:13][c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1[N:20]1[CH2:21][CH2:22][NH:23][CH2:24][CH2:25]1	1	[1]
[CH3:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][s:13]1	1	[3]
[N:1]1([C:38]([O:37][C:34]([CH3:33])([CH3:35])[CH3:36])=[O:39])[CH2:2][CH2:3][N:4]([C:5]([CH2:6][NH:7][C:8]([c:9]2[c:10]([O:11][CH3:12])[c:13]3[c:14]([cH:15][cH:16]2)[nH:17][n:18][c:19]3/[CH:20]=[CH:21]/[c:22]2[cH:23][cH:24][c:25]([F:26])[cH:27][cH:28]2)=[O:29])=[O:30])[CH2:31][CH2:32]1	1	[6]
[O:1]([C:2](=[O:3])[c:4]1[cH:5][c:6]2[c:7](-[c:8]3[cH:9][cH:10][c:11]([C:12]([F:13])([F:14])[F:15])[cH:16][cH:17]3)[n:18][c:19](-[c:20]3[cH:21][cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28][cH:29]3)[cH:30][c:31]2[n:32]1-[c:33]1[cH:34][cH:35][c:36]([O:37][CH:38]([CH3:39])[CH3:40])[cH:41][cH:42]1)[CH2:44][CH3:43]	1	[6]
[C:1]([N:2]([CH3:3])[c:4]1[cH:5][cH:6][c:7]([S:8][C:9]([F:10])([F:11])[F:12])[cH:13][c:14]1[F:15])(=[O:16])[Cl:25]	1	[2]
[O:1]([C:2]([C@H:3]1[N:4]([C:5]([C@H:6]([CH3:7])[CH2:8][C:9](=[O:10])[C@H:11]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[O:19][C:20](=[O:21])[c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)=[O:28])[CH2:29][CH2:30][CH2:31]1)=[O:32])[CH2:37][c:36]1[cH:35][cH:34][cH:33][cH:39][cH:38]1	1	[6]
[O:1]([CH2:2][CH2:3][C:4]#[C:5][CH2:6][O:7][Si:8]([C:9]([CH3:10])([CH3:11])[CH3:12])([c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[CH:28]1[CH2:27][CH2:26][CH2:25][CH2:30][O:29]1	1	[6]
[F:4][c:5]1[n:6][c:7]([Cl:8])[c:9]2[n:10][cH:11][nH:12][c:13]2[n:14]1	1	[1]
[CH3:8][O:9][c:10]1[cH:11][cH:12][cH:13][c:14]([CH:15]=[O:16])[c:17]1[OH:18]	1	[1]
[N:2]1([CH2:19][c:18]2[cH:17][cH:16][cH:15][cH:21][cH:20]2)[CH2:3][c:4]2[c:5]([cH:6][c:7]([O:8][CH3:9])[c:10]([O:11][CH3:12])[cH:13]2)[CH2:14]1	1	[6]
[c:1]1([Cl:21])[nH:2][c:3](=[O:4])[c:5]2[c:6]([cH:7]1)[c:8]([Cl:9])[cH:10][c:11]([F:12])[cH:13]2	1	[1]
[CH:1]([CH3:2])=[O:28]	1	[1]
[O:3]=[C:4]([O:5][CH:6]1[CH2:7][CH2:8][NH:9][CH2:10][CH2:11]1)[C@:12]([OH:13])([c:14]1[cH:15][cH:16][c:17]([Cl:18])[cH:19][cH:20]1)[C@@H:21]1[CH2:22][CH2:23][C:24]([F:25])([F:26])[CH2:27]1	1	[1]
[C:1](=[O:2])([CH:3]1[CH2:4][CH2:5][CH2:6][CH2:7]1)[Cl:25]	1	[2]
[OH:8][C@@H:9]1[CH2:10][CH2:11][CH2:12][NH:13][CH2:14]1	1	[5]
[CH2:1]([CH2:2][N:3]([CH3:4])[CH3:5])[Cl:17]	1	[1]
[CH3:1][CH:2]([CH3:3])[c:4]1[cH:5][c:6]2[c:7]([c:8](-[c:9]3[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]3)[c:16]1[C:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]([O:23][C:24]([F:25])([F:26])[F:27])[cH:28][cH:29]1)[C:30](=[O:31])[CH2:32][C:33]([CH3:34])([CH3:35])[O:36]2	1	[7]
[C:1](=[O:2])([CH:3]([CH3:4])[CH:5]1[CH2:6][CH2:7][N:8]([C:9](=[O:10])[O:11][C:12]([CH3:13])([CH3:14])[CH3:15])[CH2:16][CH2:17]1)[O:20][CH2:19][CH3:18]	1	[7]
[CH3:15][Si:16]([CH3:17])([CH3:18])[CH2:19][CH2:20][S:21](=[O:22])(=[O:23])[N:24]=[S:25](=[O:26])([CH2:27][CH2:28][OH:29])[c:30]1[cH:31][cH:32][c:33]([NH2:34])[cH:35][cH:36]1	1	[1]
[c:1]1([Cl:37])[n:2][c:3]([NH:4][C@H:5]([CH3:6])[C:7]([CH3:8])([CH3:9])[OH:10])[c:11]([Br:12])[cH:13][n:14]1	1	[1]
[CH3:13][C:14](=[O:15])[N:16]([c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[C:23]1([c:24]2[n:25][c:26]([CH3:27])[cH:28][s:29]2)[CH2:30][CH2:31][NH:32][CH2:33][CH2:34]1	1	[1]
[CH:1]([c:2]1[cH:3][cH:4][c:5]([O:6][C:7]([F:8])([F:9])[F:10])[cH:11][cH:12]1)=[O:35]	1	[1]
[CH3:5][CH2:6][O:7][C:8](=[O:9])[c:10]1[cH:11][n:12]([CH2:13][CH2:14][OH:15])[c:16]2[n:17][cH:18][c:19]([Br:20])[cH:21][c:22]2[c:23]1=[O:24]	1	[2]
[CH2:1]([CH2:2][CH2:3][N:4]([CH2:5][CH2:6][CH2:7][CH3:8])[CH2:9][CH2:10][CH2:11][CH3:12])[Cl:20]	1	[1]
[NH2:23][c:24]1[cH:25][cH:26][c:27]([Cl:28])[c:29]([Cl:30])[cH:31]1	1	[1]
[c:1]1([Cl:32])[c:2]([C:3]#[N:4])[cH:5][n:6][c:7]2[s:8][c:9]3[c:10]([c:11]12)[CH2:12][CH2:13][N:14]([C:15]([O:16][C:17]([CH3:18])([CH3:19])[CH3:20])=[O:21])[CH2:22]3	1	[1]
[N:1]#[C:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1-[c:9]1[cH:10][c:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][n:17]2)[cH:18][n:19](-[c:20]2[cH:21][cH:22][cH:23][c:24]([CH:25]=[O:26])[cH:27]2)[c:28]1=[O:29]	1	[7]
[CH2:1]([O:2][CH2:3][CH2:4][Si:5]([CH3:6])([CH3:7])[CH3:8])[Cl:38]	1	[1]
[CH3:9][CH2:10][CH:11]1[CH2:12][CH:13]([O:14][CH2:15][c:16]2[cH:17][cH:18][c:19]([O:20][CH3:21])[cH:22][cH:23]2)[CH2:24][CH:25]1[c:26]1[n:27][n:28][c:29]2[cH:30][n:31][c:32]3[nH:33][cH:34][cH:35][c:36]3[n:37]12	1	[1]
[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8]([CH:9]2[CH2:10][CH2:11]2)[c:12]2[c:13]([cH:14][c:15]([F:16])[c:17]([F:18])[c:19]2[C:20]#[C:21][CH2:22][C@@H:23]2[CH2:24][CH2:25][CH2:26][N:27]2[C:28](=[O:29])[O:30][C:31]([CH3:32])([CH3:33])[CH3:34])[c:35]1=[O:36]	1	[7]
[NH:1]([N:2]([C:3]([C@@H:4]1[CH2:5][C@@H:6]([S:7][CH2:8][c:9]2[cH:10][cH:11][c:12]([O:13][CH3:14])[cH:15][cH:16]2)[CH2:17][N:18]1[S:19](=[O:20])(=[O:21])[c:22]1[cH:23][cH:24][c:25]2[cH:26][cH:27][cH:28][cH:29][c:30]2[cH:31]1)=[O:32])[CH3:33])[C:39]([O:38][C:35]([CH3:34])([CH3:36])[CH3:37])=[O:40]	1	[6]
[CH3:8][c:9]1[cH:10][c:11]([CH3:12])[c:13]([NH:14][c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[c:21]([CH3:22])[cH:23]1	1	[1]
[c:1]1([I:24])[c:2]([Br:3])[cH:4][cH:5][cH:6][cH:7]1	1	[1]
[CH3:1][O:2][CH2:3][CH2:4][O:5][CH2:6][N:7]([c:8]1[n:9][o:10][c:11]([CH3:12])[c:13]1[CH3:14])[S:15](=[O:16])(=[O:17])[c:18]1[s:19][cH:20][cH:21][c:22]1-[c:23]1[cH:24][cH:25][c:26]([CH:27]=[O:28])[cH:29][cH:30]1	1	[7]
[n:1]1([CH2:34][c:33]2[cH:32][cH:31][c:30]([O:29][CH3:28])[cH:36][cH:35]2)[n:2][c:3]([CH:4]=[C:5]2[CH2:6][CH2:7][N:8]([c:9]3[n:10][c:11]([CH3:12])[cH:13][cH:14][c:15]3[N+:16](=[O:17])[O-:18])[CH2:19][CH2:20]2)[cH:21][c:22]1-[c:23]1[cH:24][cH:25][cH:26][s:27]1	1	[6]
[C:1](#[C:2][CH2:3][CH2:4][CH2:5][CH2:6][C:7]([c:8]1[cH:9][c:10]([O:11][CH3:12])[cH:13][c:14]([O:15][CH3:16])[cH:17]1)([CH3:18])[CH3:19])[Si:21]([CH3:20])([CH3:22])[CH3:23]	1	[6]
[CH3:11][C:12]([CH3:13])([CH3:14])[O:15][C:16](=[O:17])[CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][c:24]1[CH2:25][NH2:26]	1	[2]
[c:1]1([Cl:24])[cH:2][c:3]([C:4]([O:5][CH3:6])=[O:7])[n:8][c:9]2[c:10]1[n:11][c:12]([Cl:13])[n:14][c:15]2[N:16]1[CH2:17][CH2:18][O:19][CH2:20][CH2:21]1	1	[1]
[NH2:15][c:16]1[cH:17][cH:18][c:19]([O:20][c:21]2[cH:22][cH:23][cH:24][c:25]3[nH:26][cH:27][cH:28][c:29]23)[c:30]([Cl:31])[cH:32]1	1	[1]
[c:1]1([Cl:33])[n:2][cH:3][n:4][c:5]2[cH:6][cH:7][n:8]([CH2:9][C:10]([F:11])([F:12])[F:13])[c:14]12	1	[1]
[OH:18][CH2:19][c:20]1[n:21][cH:22][c:23]([F:24])[cH:25][c:26]1[F:27]	1	[1]
[c:1]1([Cl:28])[cH:2][c:3](-[c:4]2[cH:5][n:6][c:7]([CH3:8])[n:9][cH:10]2)[c:11]2[c:12]([n:13]1)[CH2:14][CH2:15][CH2:16][CH2:17]2	1	[1]
[NH:1]([CH2:2][c:3]1[cH:4][c:5]([C:6]2=[N:7][O:8][C:9]([c:10]3[cH:11][c:12]([Cl:13])[c:14]([Cl:15])[c:16]([Cl:17])[cH:18]3)([C:19]([F:20])([F:21])[F:22])[CH2:23]2)[cH:24][cH:25][c:26]1[Br:27])[C:33]([O:32][C:29]([CH3:28])([CH3:30])[CH3:31])=[O:34]	1	[6]
[CH3:9][N:10]([CH2:11][C:12](=[O:13])[OH:14])[C:15](=[O:16])[O:17][CH2:18][CH:19]1[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2-[c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]21	1	[1]
[CH2:1]([CH2:2][CH2:3][OH:4])[OH:17]	1	[5]
[CH3:5][CH:6]([CH3:7])[C:8](=[O:9])[c:10]1[cH:11][cH:12][c:13]([Br:14])[cH:15][cH:16]1	1	[5]
[F:18][c:19]1[cH:20][cH:21][c:22]([CH2:23][n:24]2[c:25]([NH:26][CH:27]3[CH2:28][CH2:29][N:30]([CH:31]4[CH2:32][CH2:33][NH:34][CH2:35][CH2:36]4)[CH2:37][CH2:38]3)[n:39][c:40]3[cH:41][cH:42][cH:43][cH:44][c:45]23)[cH:46][cH:47]1	1	[1]
[c:1]1([Cl:48])[n:2]([CH2:3][c:4]2[cH:5][cH:6][c:7]([F:8])[cH:9][cH:10]2)[c:11]2[c:12]([n:13]1)[cH:14][cH:15][cH:16][cH:17]2	1	[1]
[c:1]1([Br:36])[c:2]2[c:3]([cH:4][cH:5][cH:6]1)[C:7](=[C:8]1[CH2:9][CH:10]3[CH2:11][CH2:12][CH:13]([CH2:14]1)[NH:15]3)[c:16]1[cH:17][cH:18][c:19]([C:20]([N:21]([CH2:22][CH3:23])[CH2:24][CH3:25])=[O:26])[cH:27][c:28]1[O:29]2	1	[3]
[c:13]1([B:30]([OH:29])[OH:31])[cH:14][cH:15][c:16]([O:17][CH3:18])[cH:19][cH:20]1	1	[3]
[S:1]([c:2]1[cH:3][cH:4][cH:5][c:6]([C:7](=[O:8])[OH:9])[cH:10]1)(=[O:11])(=[O:12])[Cl:13]	1	[9]
[C:1]([CH2:2][N:3]([CH3:4])[C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[cH:17][cH:18]1)(=[O:19])[OH:38]	1	[2]
[O:20]=[C:21]([c:22]1[cH:23][cH:24][cH:25][cH:26][c:27]1[C:28]([F:29])([F:30])[F:31])[N:32]1[CH2:33][CH2:34][NH:35][CH2:36][CH2:37]1	1	[2]
[CH:1]#[C:2][CH2:3][N:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][c:11]1[N:12]=[N+:13]=[N-:14])[C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21]	1	[4]
[CH3:1][O:2][c:3]1[cH:4][c:5]([CH:6]=[CH:7][C:8](=[O:9])[NH:10][C@H:11]2[CH2:12][CH2:13][C@H:14]([CH3:15])[CH2:16][CH2:17]2)[cH:18][cH:19][c:20]1[O:21][CH2:22][C:23](=[O:24])[OH:25]	1	[7]
[NH:1]([C@H:2]1[c:3]2[c:4]([cH:5][c:6]3[c:7]([cH:8]2)[CH2:9][CH2:10][CH2:11]3)[N:12]([C:13]([O:14][CH2:15][CH3:16])=[O:17])[C@@H:18]([CH3:19])[CH2:20]1)[C:22](=[O:21])[O:23][CH2:24][c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1	1	[6]
[N+:1]([c:2]1[c:3]([NH:4][C:5](=[O:6])[O:7][C:8]([CH3:9])([CH3:10])[CH3:11])[cH:12][c:13]([N:14]([CH2:15][CH2:16][CH3:17])[CH3:18])[c:19]([C:20]#[N:21])[cH:22]1)(=[O:23])[O-:24]	1	[7]
[CH3:2][O:3][c:4]1[cH:5][c:6]2[cH:7][cH:8][n:9][c:10]([CH2:11][S:12][c:13]3[n:14][c:15]4[cH:16][cH:17][cH:18][cH:19][c:20]4[nH:21]3)[c:22]2[cH:23][c:24]1[O:25][CH3:26]	1	[8]
[CH:1]([c:2]1[c:3]([O:4][CH2:5][CH2:6][OH:7])[cH:8][cH:9][cH:10][c:11]1[O:12][CH2:13][CH2:14][OH:15])=[O:18]	1	[1]
[NH:1]([c:2]1[c:3]2[c:4]([cH:5][cH:6][c:7]([C:8](=[O:9])[c:10]3[cH:11][c:12]([F:13])[cH:14][c:15]([F:16])[cH:17]3)[cH:18]2)[n:19]([C:20]([c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)([c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[c:33]2[cH:34][cH:35][cH:36][cH:37][cH:38]2)[n:39]1)[C:41](=[O:40])[C:42]([F:43])([F:44])[F:45]	1	[6]
[CH2:1]([CH:2]=[CH:3][CH:4]=[CH:5][C:6]([O:7][CH3:8])=[O:9])[Br:18]	1	[1]
[CH:1]([c:2]1[cH:3][cH:4][c:5]([OH:6])[cH:7][cH:8]1)=[O:24]	1	[3]
[NH2:9][C:10](=[O:11])[C:12]1=[N:13][N:14]([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[C:21](=[O:22])[CH2:23]1	1	[3]
[CH:13]#[C:14][c:15]1[cH:16][c:17]([Cl:18])[cH:19][cH:20][c:21]1[O:22][CH2:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30]	1	[3]
[c:1]1([Br:31])[c:2]([F:3])[cH:4][cH:5][c:6]([S:7]([CH2:8][CH3:9])(=[O:10])=[O:11])[cH:12]1	1	[3]
[N-:19]=[N+:20]=[N:21][CH2:22][c:23]1[cH:24][cH:25][c:26]([C:27]([F:28])([F:29])[F:30])[cH:31][cH:32]1	1	[4]
[N+:1]([c:2]1[cH:3][cH:4][c:5]([C:6]2=[N:7][CH2:8][CH2:9][CH2:10][NH:11]2)[cH:12][cH:13]1)(=[O:14])[O-:15]	1	[7]
[N+:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[O:8][c:9]1[cH:10][cH:11][n:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]12)(=[O:19])[O-:20]	1	[7]
[CH:1]([c:2]1[c:3]([O:4][CH3:5])[cH:6][cH:7][cH:8][cH:9]1)([c:10]1[cH:11][cH:12][c:13]([NH:14][C:15](=[O:16])[C:17]2([c:18]3[cH:19][cH:20][c:21]4[c:22]([cH:23]3)[O:24][CH2:25][O:26]4)[CH2:27][CH2:28]2)[n:29][cH:30]1)[O:44][S:41]([CH3:40])(=[O:42])=[O:43]	1	[1]
[CH:1](=[CH:2]\[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH3:8])\[I:17]	1	[3]
[C:1]([C:2]1([CH3:3])[CH2:4][CH2:5][c:6]2[c:7]([c:8]([CH3:9])[c:10]([CH3:11])[c:12]([OH:13])[c:14]2[CH3:15])[O:16]1)(=[O:17])[OH:27]	1	[2]
[NH2:18][CH2:19][CH2:20][CH2:21][n:22]1[cH:23][cH:24][n:25][cH:26]1	1	[2]
[C:1]([C:2]([CH3:3])([CH3:4])[OH:5])(=[O:6])[OH:21]	1	[2]
[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7]/[CH:8]=[CH:9]\[CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH:17]([OH:18])[CH2:19][CH2:20][CH2:21][NH:22][C:23]([CH3:24])=[O:25]	1	[8]
[C:1](=[O:2])(/[CH:3]=[CH:4]/[c:5]1[cH:6][cH:7][o:8][cH:9]1)[OH:19]	1	[2]
[O:10]=[C:11]1[NH:12][CH2:13][CH2:14][c:15]2[cH:16][c:17]([CH:18]3[CH2:19][CH2:20]3)[cH:21][cH:22][c:23]21	1	[1]
[c:1]1([Br:24])[c:2]([CH:3]=[O:4])[c:5]([Br:6])[cH:7][cH:8][cH:9]1	1	[1]
[c:1]1([B:35]2[O:34][C:32]([CH3:31])([CH3:33])[C:37]([CH3:38])([CH3:39])[O:36]2)[cH:2][cH:3][n:4]([CH3:5])[c:6](=[O:7])[cH:8]1	1	[3]
[c:9]1([Cl:40])[cH:10][c:11]2[c:12]([cH:13][n:14]1)[O:15][CH:16]([CH:17]1[CH2:18][CH2:19][N:20]([C:21]([O:22][C:23]([CH3:24])([CH3:25])[CH3:26])=[O:27])[CH2:28][CH2:29]1)[CH2:30]2	1	[3]
[O:1]([c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7]1)[CH2:8][CH2:9][CH2:10][CH2:11][N:12]2[S:13]([CH3:14])(=[O:15])=[O:16])[S:18]([CH3:17])(=[O:19])=[O:20]	1	[9]
[CH:7]([CH2:8][CH:9]1[CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17]1)=[O:26]	1	[3]
[CH3:9][CH:10]([CH3:11])[O:12][c:13]1[cH:14][c:15]([CH2:16][N:17]2[CH2:18][CH2:19][CH:20]([NH2:21])[CH2:22][CH2:23]2)[cH:24][c:25]([O:26][CH:27]([CH3:28])[CH3:29])[cH:30]1	1	[1]
[c:1]1([Cl:31])[c:2]([NH2:3])[c:4]([Cl:5])[n:6][cH:7][n:8]1	1	[1]
[C:1](=[O:2])([c:3]1[n:4][c:5]([C:6]#[N:7])[c:8]2[cH:9][c:10]([O:11][c:12]3[cH:13][cH:14][c:15]([Cl:16])[cH:17][cH:18]3)[cH:19][cH:20][c:21]2[c:22]1[OH:23])[O:35][CH3:34]	1	[2]
[CH3:24][CH2:25][O:26][C:27](=[O:28])[C:29]([CH3:30])([CH3:31])[CH2:32][NH2:33]	1	[2]
[C:1]([c:2]1[nH:3][c:4]2[cH:5][cH:6][c:7]([NH:8][S:9]([c:10]3[cH:11][cH:12][c:13]([C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][cH:19]3)(=[O:20])=[O:21])[cH:22][c:23]2[c:24]1-[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1)(=[O:31])[OH:39]	1	[2]
[OH:36][CH2:37][C@H:38]1[NH:39][CH2:40][CH2:41][C@@H:42]1[OH:43]	1	[1]
[c:1]1([Cl:44])[cH:2][c:3](-[c:4]2[c:5]([CH3:6])[cH:7][c:8]([F:9])[cH:10][cH:11]2)[c:12]([N:13]([CH3:14])[C:15](=[O:16])[C:17]([CH3:18])([CH3:19])[c:20]2[cH:21][c:22]([C:23]([F:24])([F:25])[F:26])[cH:27][c:28]([C:29]([F:30])([F:31])[F:32])[cH:33]2)[cH:34][n:35]1	1	[1]
[CH2:1]([CH2:2][O:3][CH:4]([c:5]1[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][cH:12]1)[c:13]1[cH:14][n:15][cH:16][nH:17]1)[O:22][S:19]([CH3:18])(=[O:20])=[O:21]	1	[1]
[NH2:8][c:9]1[cH:10][c:11]([F:12])[cH:13][c:14]2[c:15]1[cH:16][cH:17][n:18]2[CH2:19][c:20]1[cH:21][cH:22][c:23]([Cl:24])[cH:25][cH:26]1	1	[5]
[CH2:1]([CH2:2][OH:3])[Br:14]	1	[1]
[O:4]=[N+:5]([O-:6])[c:7]1[c:8]([Br:9])[n:10][nH:11][c:12]1[Br:13]	1	[1]
[C:1]([c:2]1[cH:3][c:4]2[c:5]([CH2:6][CH2:7][c:8]3[cH:9][cH:10][cH:11][c:12]([Cl:13])[cH:14]3)[cH:15][c:16](=[O:17])[n:18]([CH3:19])[c:20]2[cH:21][cH:22]1)([c:23]1[cH:24][cH:25][c:26]([Cl:27])[cH:28][cH:29]1)([c:30]1[cH:31][cH:32][cH:33][n:34][cH:35]1)[Cl:37]	1	[9]
[C:1]([c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([O:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH3:18])[cH:19][cH:20]2)[cH:21][cH:22]1)(=[O:23])[OH:38]	1	[1]
[CH3:24][C@H:25]([Cl:26])[CH2:27][C@H:28]([CH3:29])[O:30][c:31]1[cH:32][cH:33][c:34]([OH:35])[cH:36][cH:37]1	1	[1]
[C:1]([C:2]#[C:3][C:4]([CH2:5][CH2:6][O:7][CH3:8])([CH3:9])[NH2:10])(=[O:11])[OH:31]	1	[2]
[NH2:12][c:13]1[cH:14][cH:15][c:16]2[n:17][cH:18][n:19][c:20]([NH:21][c:22]3[cH:23][cH:24][cH:25][c:26]([Br:27])[cH:28]3)[c:29]2[cH:30]1	1	[2]
[CH3:4][c:5]1[cH:6][cH:7][c:8]2[cH:9][cH:10][cH:11][c:12]([O:13][CH2:14][c:15]3[c:16]([Cl:17])[cH:18][cH:19][c:20]([N:21]([CH3:22])[C:23](=[O:24])[CH2:25][c:26]4[cH:27][cH:28][c:29]([C:30](=[O:31])[c:32]5[cH:33][cH:34][c:35]([NH2:36])[cH:37][cH:38]5)[n:39]4[CH3:40])[c:41]3[Cl:42])[c:43]2[n:44]1	1	[2]
[C:1](=[O:2])([C:3]12[CH2:4][CH:5]3[CH2:6][CH:7]([CH2:8][CH:9]([CH2:10]3)[CH2:11]1)[CH2:12]2)[Cl:31]	1	[2]
[CH2:13]1[CH2:14][O:15][CH2:16][CH2:17][O:18][CH2:19][CH2:20][O:21][CH2:22][CH2:23][O:24][CH2:25][CH2:26][O:27][CH2:28][CH2:29][NH:30]1	1	[2]
[CH3:10][C@H:11]1[CH2:12][NH:13][CH2:14][C@@H:15]([NH:16][C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[C@@H:24]1[O:25][Si:26]([CH3:27])([CH3:28])[C:29]([CH3:30])([CH3:31])[CH3:32]	1	[1]
[c:1]1([Cl:33])[c:2]([N+:3](=[O:4])[O-:5])[cH:6][n:7][cH:8][cH:9]1	1	[1]
[NH2:5][CH2:6][c:7]1[cH:8][cH:9][c:10]2[nH:11][cH:12][cH:13][c:14]2[cH:15]1	1	[2]
[O:1]([C:2](=[O:3])[CH2:4][n:5]1[c:6](=[O:7])[n:8]([CH2:9][c:10]2[cH:11][cH:12][c:13]([Cl:14])[cH:15][c:16]2[Cl:17])[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2[c:24]1=[S:25])[CH2:27][CH3:26]	1	[6]
[C:1]([CH:2]([CH3:3])[Br:4])(=[O:5])[Br:16]	1	[2]
[CH3:6][c:7]1[cH:8][c:9]([CH3:10])[c:11]([OH:12])[c:13]([NH2:14])[cH:15]1	1	[2]
[c:1]1([Br:29])[s:2][c:3](-[c:4]2[n:5]3[n:6][c:7]([CH3:8])[cH:9][c:10]([CH:11]([CH2:12][CH3:13])[CH2:14][CH3:15])[c:16]3[n:17][c:18]2[CH3:19])[c:20]([Cl:21])[cH:22]1	1	[3]
[c:23]1([Zn+:30])[cH:24][cH:25][cH:26][cH:27][n:28]1	1	[3]
[CH2:1]([CH:2]=[CH:3][c:4]1[cH:5][cH:6][cH:7][c:8]([O:9][CH3:10])[cH:11]1)[Cl:23]	1	[1]
[C:1]([c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([Br:8])[cH:9][cH:10]1)(=[O:11])[OH:17]	1	[2]
[CH2:1]([c:2]1[cH:3][c:4]([F:5])[n:6][cH:7][cH:8]1)[Br:41]	1	[1]
[CH3:9][O:10][c:11]1[cH:12][cH:13][c:14]([CH2:15][O:16][N:17]=[C:18]([c:19]2[c:20]([CH:21]([CH3:22])[CH3:23])[c:24](=[O:25])[nH:26][c:27](=[O:28])[nH:29]2)[c:30]2[cH:31][c:32]([CH3:33])[cH:34][c:35]([C:36]#[N:37])[cH:38]2)[cH:39][cH:40]1	1	[1]
[CH:1]([CH3:2])=[O:11]	1	[1]
[NH2:3][c:4]1[cH:5][cH:6][c:7]([Br:8])[cH:9][n:10]1	1	[1]
[O:1]([C:2](=[O:3])[CH2:4][n:5]1[cH:6][cH:7][c:8]2[cH:9][cH:10][c:11]([O:12][CH2:13][c:14]3[c:15]([C:16]([F:17])([F:18])[F:19])[cH:20][c:21](-[c:22]4[cH:23][cH:24][c:25]([C:26]([F:27])([F:28])[F:29])[cH:30][cH:31]4)[n:32][c:33]3[CH3:34])[cH:35][c:36]12)[CH2:38][CH3:37]	1	[6]
[OH:15][c:16]1[cH:17][cH:18][c:19](-[c:20]2[cH:21][n:22][c:23]([NH:24][c:25]3[cH:26][cH:27][cH:28][cH:29][cH:30]3)[n:31][cH:32]2)[cH:33][c:34]1[F:35]	1	[1]
